Movie Name,Release Date,Verdict,Adjusted Net Gross,Genre,Runtime,Ratings,Budget,Production Banner,Actors,Director
Mr. & Mrs. Khiladi,1997-10-10,Semi Hit,818887550.0,Comedy,142 min,80.71% (7 Ratings),57500000.0,DMS Films Pvt. Ltd.,"['Akshay Kumar', 'Juhi Chawla', 'Kader Khan', 'Paresh Rawal']",David Dhawan
Hogi Pyar Ki Jeet,1999-05-07,Semi Hit,815040750.0,Masala,156 min,42.50% (2 Ratings),60000000.0,Shweta International,"['Ajay Devgn', 'Arshad Warsi', 'Neha', 'Mayuri Kango']",P. Vasu
Loafer,1996-06-07,Semi Hit,783881670.0,Masala,137 min,70.00% (1 Ratings),40000000.0,S.K. Films Enterprises,"['Anil Kapoor', 'Juhi Chawla', 'Gulshan Grover', 'Shakti Kapoor']",David Dhawan
Ghulam-E-Musthafa,1997-10-31,Semi Hit,766859580.0,Drama,152 min,45.00% (2 Ratings),55000000.0,S.G.S. Cine Arts International,"['Nana Patekar', 'Raveena Tandon', 'Paresh Rawal', 'Aruna Irani']",Partho Ghosh
Anari No.1,1999-04-09,Semi Hit,760897040.0,Comedy,163 min,0.00% (0 Ratings),67500000.0,A.K. International,"['Govinda', 'Raveena Tandon', 'Simran', 'Aruna Irani']",Kuku Kohli
Bhai,1997-10-31,Semi Hit,754645990.0,Action,152 min,73.33% (3 Ratings),47500000.0,Yashish Enterprises,"['Suneil Shetty', 'Sonali Bendre', 'Pooja Batra', 'Shakti Kapoor']",Deepak Shivdasani
Saajan Ka Ghar,1994-04-29,Semi Hit,733392420.0,Drama,156 min,40.00% (1 Ratings),17500000.0,Roopvati Pictures,"['Rishi Kapoor', 'Juhi Chawla', 'Deepak Tijori', 'Farheen']",Surendra Kumar Bohra
Anth,1994-06-10,Semi Hit,707234180.0,Action,141 min,0.00% (0 Ratings),16500000.0,Ashok Honda Productions,"['Suneil Shetty', 'Somy Ali', 'Paresh Rawal', 'Mohan Joshi']",Sanjay Khanna
Cheetah,1994-06-24,Semi Hit,695116760.0,Action,138 min,90.00% (1 Ratings),18500000.0,Aabha Films,"['Mithun Chakraborty', 'Ashwini Bhave', 'Shikha Swaroop', 'Gulshan Grover']",Harmesh Malhotra
Gopi Kishen,1994-12-02,Semi Hit,660880240.0,Masala,165 min,87.50% (2 Ratings),21500000.0,Prince & Prince International,"['Suneil Shetty', 'Shilpa Shirodkar', 'Karisma Kapoor', 'Aruna Irani']",Mukesh Duggal
Jallaad,1995-09-15,Semi Hit,593561240.0,Action,155 min,52.50% (2 Ratings),27500000.0,Aabha Films,"['Mithun Chakraborty', 'Madhoo', 'Rambha', 'Moushumi Chatterjee']",T.L.V. Prasad
Kabhi Haan Kabhi Naa,1994-02-25,Semi Hit,590676140.0,Rom - Com,154 min,97.50% (4 Ratings),14000000.0,Legend Films,"['Shahrukh Khan', 'Deepak Tijori', 'Suchitra Krishnamurthy', 'Naseeruddin Shah']",Kundan Shah
Salaami,1994-03-18,Semi Hit,516913750.0,Love Story,143 min,0.00% (0 Ratings),11000000.0,Tess Mirza Films Pvt. Ltd.,"['Ayub Khan', 'Samyukta Singh', 'Roshni Jaffery', 'Kabir Bedi']",Sharookh Mirza
Shapath,1997-12-12,Semi Hit,476137670.0,Action,144 min,95.00% (1 Ratings),27500000.0,Aabha Films,"['Mithun Chakraborty', 'Jackie Shroff', 'Ramya Krishnan', 'Vineeta']",Rajiv Babbar
Sirf Tum,1999-06-04,Semi Hit,419205030.0,Love Story,165 min,67.50% (2 Ratings),30000000.0,Narsimha Enterprises,"['Sanjay Kapoor', 'Priya Gill', 'Mohnish Bahl', 'Johny Lever']",Ahathian
